"Del","Vin","Pkg","Cst","Mil","Dom","Haz","Car"
7.7,18,5,9,1689,"C","N","M-Press Delivery"
13.9,13,5,14,1634,"I","N","Fed Post"
10.6,14,6,9,1958,"C","N","M-Press Delivery"
14.5,11,5,13,2396,"I","N","Fed Post"
5.2,12,5,14,1236,"C","N","M-Press Delivery"
12.7,19,1,7,2088,"C","N","Fed Post"
10.3,11,9,10,1714,"C","N","Fed Post"
12.7,15,2,11,2235,"C","N","M-Press Delivery"
12.8,16,2,9,1728,"I","H","M-Press Delivery"
11.3,13,4,6,1490,"I","N","Fed Post"
9.9,12,4,14,1846,"I","N","M-Press Delivery"
16,8,3,15,2670,"C","N","Fed Post"
13.1,12,6,13,1864,"I","H","Fed Post"
10.1,14,5,9,1929,"C","N","M-Press Delivery"
7.8,10,3,10,1090,"C","H","M-Press Delivery"
6.7,17,2,6,1596,"C","N","M-Press Delivery"
10.7,7,6,11,1559,"I","N","M-Press Delivery"
8,17,5,5,1385,"C","N","M-Press Delivery"
9,17,3,6,1704,"C","N","M-Press Delivery"
13.5,11,5,13,2164,"C","H","Fed Post"
8.6,10,2,9,1120,"C","H","Fed Post"
11.7,15,11,15,1824,"C","H","Fed Post"
7.8,11,1,18,1338,"C","N","M-Press Delivery"
14.6,17,9,9,2180,"C","N","Fed Post"
9.1,16,6,7,1288,"C","H","M-Press Delivery"
4.9,11,7,5,919,"I","N","M-Press Delivery"
11.9,16,2,8,2087,"C","N","Fed Post"
7,6,5,15,947,"C","N","Fed Post"
12.2,12,5,6,1830,"C","H","M-Press Delivery"
2.4,17,2,6,126,"C","N","Fed Post"
13.1,23,2,13,1978,"I","N","Fed Post"
13.5,10,1,6,1893,"I","N","M-Press Delivery"
8.8,13,6,8,1672,"C","N","M-Press Delivery"
10.7,14,7,11,2201,"C","H","M-Press Delivery"
8.8,22,4,9,1754,"I","N","M-Press Delivery"
18.2,11,4,8,3276,"C","N","M-Press Delivery"
8.9,14,4,7,1399,"C","N","Fed Post"
7.5,21,4,10,1442,"C","N","Fed Post"
10.7,19,7,19,2080,"I","N","M-Press Delivery"
10.6,11,1,10,1692,"C","H","M-Press Delivery"
20.2,18,5,7,2555,"I","H","Fed Post"
10.7,13,5,7,1667,"I","N","M-Press Delivery"
11.8,10,3,12,1581,"I","N","Fed Post"
8.5,9,1,7,1010,"C","N","Fed Post"
5.2,15,6,9,993,"C","H","M-Press Delivery"
10.1,11,3,12,2103,"C","N","M-Press Delivery"
6.7,10,4,9,1278,"C","N","M-Press Delivery"
10.6,13,4,5,2009,"C","N","M-Press Delivery"
16,18,5,8,2243,"I","H","Fed Post"
8.6,15,2,7,1054,"C","H","M-Press Delivery"
12.6,14,1,9,1626,"C","N","M-Press Delivery"
15,11,2,6,2344,"C","H","M-Press Delivery"
10.2,16,1,5,1225,"I","H","Fed Post"
3.9,12,3,10,1056,"C","N","M-Press Delivery"
13.6,8,5,8,1931,"I","H","Fed Post"
13.2,17,3,11,1999,"C","H","Fed Post"
14.6,16,8,9,2065,"C","N","Fed Post"
14.7,19,2,9,2151,"C","H","M-Press Delivery"
9.7,9,2,5,1229,"C","N","Fed Post"
8.7,8,4,10,1596,"I","N","M-Press Delivery"
4.8,16,3,7,437,"I","H","M-Press Delivery"
6.2,10,5,7,849,"C","N","Fed Post"
9,14,5,10,1306,"C","N","Fed Post"
10.4,17,2,10,2094,"C","N","M-Press Delivery"
13.1,14,3,7,1893,"C","N","Fed Post"
14.9,9,4,9,2305,"C","N","Fed Post"
6,17,3,8,1492,"C","N","M-Press Delivery"
7.2,11,3,7,1138,"C","N","M-Press Delivery"
16.9,16,5,13,2313,"I","N","Fed Post"
7.6,16,8,10,1242,"I","N","M-Press Delivery"
12,11,3,12,1819,"I","H","M-Press Delivery"
10.7,14,3,6,1398,"C","N","Fed Post"
8.9,10,6,13,1474,"C","N","M-Press Delivery"
14.4,13,5,8,1857,"C","N","Fed Post"
12.4,11,2,15,1920,"C","N","Fed Post"
9.9,6,6,6,1261,"C","H","Fed Post"
6.9,9,4,11,1127,"C","N","M-Press Delivery"
12.5,17,2,14,1863,"C","N","M-Press Delivery"
13.5,9,3,8,1855,"I","N","Fed Post"
13.2,10,7,12,2127,"C","N","Fed Post"
14.2,14,5,6,1522,"C","H","Fed Post"
16.7,10,4,11,2956,"I","H","M-Press Delivery"
14.2,9,3,11,1635,"C","H","Fed Post"
5.6,10,1,8,618,"I","N","Fed Post"
9.4,14,2,8,1679,"I","N","M-Press Delivery"
8.4,9,2,15,1257,"C","N","M-Press Delivery"
9.8,14,6,20,1708,"C","N","Fed Post"
7.8,11,4,11,1433,"C","N","M-Press Delivery"
13.1,11,4,7,2352,"I","H","M-Press Delivery"
6.2,15,5,9,1217,"I","N","M-Press Delivery"
9.5,18,1,9,1378,"C","N","Fed Post"
10.6,20,9,6,1601,"C","H","M-Press Delivery"
10.4,13,4,9,1774,"I","N","Fed Post"
5.2,7,2,11,678,"I","N","M-Press Delivery"
11.9,11,6,12,1963,"C","N","M-Press Delivery"
16.9,11,5,8,2254,"C","N","Fed Post"
7.1,7,4,6,1033,"C","N","M-Press Delivery"
10.1,20,3,7,961,"C","H","Fed Post"
9.4,11,3,8,1437,"C","H","Fed Post"
7,11,1,8,1381,"C","N","M-Press Delivery"
8.8,16,5,4,1371,"I","H","M-Press Delivery"
14.9,12,2,6,2164,"I","N","Fed Post"
12.9,10,6,12,2239,"I","N","M-Press Delivery"
5.5,10,5,11,1128,"C","H","M-Press Delivery"
4.5,13,6,8,352,"C","N","M-Press Delivery"
11.3,8,1,11,1820,"C","N","M-Press Delivery"
8.9,12,8,15,1245,"I","H","M-Press Delivery"
8.6,17,5,8,995,"I","N","M-Press Delivery"
15.9,9,1,11,2549,"I","N","Fed Post"
13.3,15,6,11,1852,"C","N","Fed Post"
10.2,18,7,8,1706,"C","N","Fed Post"
13.5,7,6,9,1799,"I","N","Fed Post"
12.3,18,3,7,1949,"C","N","Fed Post"
11.3,8,3,7,1611,"C","N","Fed Post"
10.8,8,6,7,1266,"C","H","Fed Post"
4,16,4,12,232,"C","N","Fed Post"
15.7,14,4,8,2229,"C","H","Fed Post"
10.1,12,5,12,2262,"C","N","M-Press Delivery"
11.8,11,7,9,2097,"I","N","M-Press Delivery"
14.8,9,3,3,1930,"C","N","Fed Post"
10.8,16,1,6,1699,"I","N","M-Press Delivery"
3.4,15,8,8,973,"C","H","M-Press Delivery"
6.9,19,6,10,1127,"C","H","Fed Post"
9.3,15,4,10,1655,"C","N","M-Press Delivery"
11.7,18,1,3,1357,"C","N","Fed Post"
11.1,16,5,12,1822,"I","H","M-Press Delivery"
9.3,14,4,8,1550,"C","N","M-Press Delivery"
12.4,9,4,12,1865,"I","H","M-Press Delivery"
14.8,16,2,9,1924,"I","H","M-Press Delivery"
11.5,11,1,9,1662,"C","H","Fed Post"
7.8,19,7,10,1396,"C","H","M-Press Delivery"
5.3,13,4,10,1206,"C","N","M-Press Delivery"
11.9,22,2,14,2050,"I","N","M-Press Delivery"
14.9,12,5,4,2798,"I","N","M-Press Delivery"
10.9,17,5,13,1623,"C","H","Fed Post"
11.2,9,5,10,2009,"C","H","M-Press Delivery"
9.4,16,6,7,1479,"C","N","M-Press Delivery"
9.5,13,1,5,1878,"C","H","Fed Post"
9.5,13,1,9,1735,"C","N","M-Press Delivery"
10.1,7,2,7,1717,"C","N","M-Press Delivery"
9.8,13,5,8,1438,"I","N","Fed Post"
10,13,3,3,1379,"I","N","M-Press Delivery"
8.7,13,3,12,714,"I","N","Fed Post"
10.8,11,5,6,1419,"C","N","Fed Post"
0.5,18,5,8,238,"C","N","Fed Post"
14.1,14,3,12,2071,"C","N","M-Press Delivery"
11.2,10,7,9,1809,"I","H","M-Press Delivery"
8.4,10,6,6,1018,"C","N","Fed Post"
9.1,9,5,11,1337,"I","N","M-Press Delivery"
13,8,4,9,1886,"C","N","Fed Post"
11.6,14,6,3,1334,"C","N","Fed Post"
14.9,10,5,6,2426,"C","N","Fed Post"
15,10,4,9,2674,"C","H","M-Press Delivery"
12.6,13,4,12,1883,"I","N","Fed Post"
18.3,10,10,12,2485,"I","H","Fed Post"
10.5,15,1,13,1513,"I","N","Fed Post"
13.1,9,8,12,1469,"C","N","Fed Post"
5.7,9,4,3,1379,"C","N","M-Press Delivery"
6.1,12,1,10,1022,"C","N","M-Press Delivery"
14.4,13,4,6,1832,"I","N","Fed Post"
9.2,11,3,8,1155,"C","N","Fed Post"
7.7,19,6,6,1473,"C","H","M-Press Delivery"
8.6,22,5,13,1859,"C","N","M-Press Delivery"
12.6,7,5,9,1827,"C","N","Fed Post"
10.9,8,1,5,1664,"C","N","Fed Post"
7.8,15,7,8,1516,"C","N","Fed Post"
10.4,13,4,8,1760,"C","H","M-Press Delivery"
9,8,3,15,1680,"C","N","M-Press Delivery"
11,6,1,8,1409,"C","H","Fed Post"
9.7,8,1,6,1932,"C","N","M-Press Delivery"
8.9,20,5,13,1279,"C","H","M-Press Delivery"
12.2,11,6,4,1643,"I","N","M-Press Delivery"
9.3,20,5,16,1367,"C","N","M-Press Delivery"
10.8,15,2,5,2262,"C","N","M-Press Delivery"
10.1,6,5,8,1810,"C","H","M-Press Delivery"
13.1,16,4,2,2099,"I","H","M-Press Delivery"
7.3,18,2,9,1200,"C","N","Fed Post"
11,17,5,7,2544,"C","N","M-Press Delivery"
12,16,2,12,1391,"C","N","Fed Post"
4.7,16,4,8,473,"C","N","Fed Post"
14.1,19,2,14,2275,"I","N","Fed Post"
11.4,15,2,13,1824,"C","N","M-Press Delivery"
15.3,15,5,10,3076,"C","N","M-Press Delivery"
9.3,13,7,16,1546,"C","N","M-Press Delivery"
11.2,6,6,12,1694,"C","H","Fed Post"
7.3,16,2,9,1316,"C","N","M-Press Delivery"
7.9,18,6,8,1260,"C","N","M-Press Delivery"
8.6,17,1,9,1642,"C","N","Fed Post"
7,11,4,10,1339,"C","H","M-Press Delivery"
5.5,11,9,9,997,"C","N","M-Press Delivery"
11.9,13,1,5,1865,"C","N","M-Press Delivery"
8,10,4,8,1038,"C","N","Fed Post"
14,9,2,7,1978,"C","H","Fed Post"
9.4,14,2,11,1528,"C","N","M-Press Delivery"
10.6,13,3,6,1898,"I","N","M-Press Delivery"
8,8,7,13,1582,"C","N","M-Press Delivery"
8.7,8,6,9,1450,"C","N","M-Press Delivery"
13.1,11,5,7,1692,"I","N","Fed Post"
5.4,11,5,11,113,"I","N","Fed Post"
12.2,14,5,12,1597,"I","H","Fed Post"
8.3,12,2,9,1402,"C","H","M-Press Delivery"
4.9,16,1,15,1649,"C","N","M-Press Delivery"
6.8,10,4,13,1209,"I","N","M-Press Delivery"
3.9,17,3,13,114,"C","N","Fed Post"
13.1,14,5,8,1932,"C","N","Fed Post"
5.3,13,3,12,917,"C","N","M-Press Delivery"
16.6,15,4,10,1979,"I","H","Fed Post"
9.8,15,6,12,1271,"C","N","Fed Post"
7.8,14,5,10,1360,"C","H","M-Press Delivery"
11.5,16,4,10,1717,"C","H","M-Press Delivery"
6.5,17,5,7,1396,"C","N","M-Press Delivery"
8.5,18,2,8,1443,"C","H","M-Press Delivery"
13.4,9,5,8,1417,"I","N","Fed Post"
8.3,13,4,12,1515,"C","N","M-Press Delivery"
4.8,12,7,7,-1,"C","N","Fed Post"
8.1,15,3,5,1620,"I","N","M-Press Delivery"
7.7,17,5,11,1055,"C","N","Fed Post"
12,14,1,8,2011,"C","H","M-Press Delivery"
13,17,3,12,1949,"C","N","Fed Post"
11.4,14,5,9,1784,"C","N","Fed Post"
12.1,14,4,15,2266,"C","N","M-Press Delivery"
4.1,18,4,5,1031,"C","N","M-Press Delivery"
14,14,4,10,1808,"I","N","Fed Post"
14,11,3,14,2381,"I","N","M-Press Delivery"
11.6,15,5,13,2218,"I","N","Fed Post"
13.2,12,6,14,1989,"C","N","Fed Post"
9.7,11,4,8,1846,"C","H","M-Press Delivery"
10.9,12,2,8,1377,"C","N","Fed Post"
11.8,11,11,10,1889,"C","N","M-Press Delivery"
17.8,18,5,9,2940,"C","N","Fed Post"
10.5,19,4,6,2113,"C","N","M-Press Delivery"
11,13,5,15,1604,"C","N","Fed Post"
13.3,13,5,11,1945,"C","N","Fed Post"
15.4,16,6,6,2134,"C","N","Fed Post"
6.8,13,5,7,1712,"C","N","M-Press Delivery"
12.5,9,6,5,1927,"I","N","Fed Post"
11.8,14,6,7,1682,"C","N","M-Press Delivery"
10.3,13,4,6,1473,"C","N","M-Press Delivery"
7.4,9,1,7,992,"C","N","M-Press Delivery"
11.8,16,4,4,1762,"C","N","M-Press Delivery"
11.1,19,1,14,1432,"I","N","M-Press Delivery"
15,8,7,12,2542,"C","H","Fed Post"
12.9,12,4,15,1726,"C","N","Fed Post"
10.6,12,3,6,1451,"I","N","Fed Post"
13,18,2,11,2224,"C","N","M-Press Delivery"
10.7,13,3,7,1492,"I","N","Fed Post"
8.6,14,3,15,1210,"C","H","M-Press Delivery"
10,19,5,9,1904,"C","N","M-Press Delivery"
12.6,17,1,9,1777,"C","N","Fed Post"
12.8,12,3,8,2093,"C","H","Fed Post"
6.4,16,5,11,1486,"C","N","M-Press Delivery"
10.6,10,2,7,1810,"C","N","M-Press Delivery"
6.3,20,5,6,676,"C","H","M-Press Delivery"
8.7,10,3,6,1195,"C","N","M-Press Delivery"
11.9,16,6,8,1671,"I","H","Fed Post"
2.1,8,4,8,189,"I","N","M-Press Delivery"
18.2,13,2,7,2342,"C","N","Fed Post"
11.8,9,4,13,1962,"C","N","Fed Post"
12.6,17,3,12,2232,"C","N","Fed Post"
8.9,8,7,14,1404,"I","H","M-Press Delivery"
9.6,10,2,11,1672,"I","N","M-Press Delivery"
8.5,10,1,8,1054,"C","N","Fed Post"
11.7,15,2,11,1533,"C","H","M-Press Delivery"
14.2,17,4,9,2557,"I","N","M-Press Delivery"
14.4,16,2,4,2358,"C","H","M-Press Delivery"
8.7,12,5,6,1133,"C","H","Fed Post"
9.6,16,6,7,1405,"C","N","Fed Post"
12,20,2,16,1623,"C","N","Fed Post"
10.7,11,3,7,1115,"C","H","Fed Post"
12.8,17,3,9,1721,"C","N","Fed Post"
16.4,8,5,6,2807,"I","N","M-Press Delivery"
16.5,13,8,11,2031,"I","H","Fed Post"
6.5,14,3,16,786,"C","N","M-Press Delivery"
11.2,17,10,9,1753,"C","H","Fed Post"
12.1,9,5,7,1785,"C","H","M-Press Delivery"
12.5,8,3,9,2194,"C","N","M-Press Delivery"
12.2,14,5,10,2222,"C","N","M-Press Delivery"
8.6,7,3,10,1304,"C","H","M-Press Delivery"
5.4,11,2,4,89,"C","N","Fed Post"
8.4,11,5,11,1576,"I","N","M-Press Delivery"
9.6,18,3,9,2123,"C","N","M-Press Delivery"
7.4,12,1,11,1189,"C","N","Fed Post"
10.8,14,3,6,1371,"C","H","Fed Post"
12,10,3,9,2025,"I","H","M-Press Delivery"
10.5,16,10,6,1381,"C","H","Fed Post"
11.3,12,2,10,1821,"C","H","M-Press Delivery"
11.3,12,4,9,1682,"C","N","Fed Post"
6,15,5,12,1118,"I","N","M-Press Delivery"
11.5,8,6,8,1485,"C","N","Fed Post"
10.7,9,3,6,1509,"C","N","Fed Post"
7.3,16,7,6,1261,"C","N","Fed Post"
7.3,15,3,8,903,"C","N","Fed Post"
6.1,16,5,8,968,"C","N","Fed Post"
12.4,8,1,9,2197,"C","H","Fed Post"
12.2,16,3,7,1919,"C","N","Fed Post"
13.2,14,5,8,1842,"C","H","Fed Post"
7.1,17,1,11,1024,"C","H","Fed Post"
4.4,16,4,8,463,"I","N","M-Press Delivery"
14.8,8,7,9,2353,"C","H","Fed Post"
7.9,14,6,7,1387,"C","N","M-Press Delivery"
14.3,14,6,8,2816,"C","N","M-Press Delivery"
10.3,13,4,1,1369,"C","N","Fed Post"
10.6,9,2,12,1805,"I","H","M-Press Delivery"
13.4,7,3,7,2353,"C","N","M-Press Delivery"
11.3,16,7,9,2245,"C","H","M-Press Delivery"
8.4,7,2,8,1219,"C","N","Fed Post"
8.8,12,2,15,1380,"C","N","M-Press Delivery"
14,19,4,11,2138,"C","N","Fed Post"
12.9,10,6,8,2215,"C","H","Fed Post"
7,8,4,8,853,"C","N","Fed Post"
15,19,4,4,1737,"I","N","Fed Post"
14.6,16,6,9,1889,"C","N","Fed Post"
11.8,11,8,10,1529,"I","H","Fed Post"
8.7,15,3,10,1032,"I","N","Fed Post"
17,9,4,9,2526,"I","N","Fed Post"
6.2,12,5,12,1152,"C","N","M-Press Delivery"
12.3,19,3,9,1453,"C","N","Fed Post"
