"Del","Vin","Pkg","Cst","Mil","Dom","Haz","Car"
7.9,10,5,10,1875,"C","N","M-Press Delivery"
8.9,23,3,4,1460,"C","H","M-Press Delivery"
8.7,20,3,4,1360,"C","N","Fed Post"
8.8,18,5,1,1026,"C","N","M-Press Delivery"
9,14,3,4,1055,"I","N","M-Press Delivery"
6.4,10,1,11,2413,"I","N","M-Press Delivery"
4.5,15,4,17,1370,"C","N","Fed Post"
4.2,13,0,13,1116,"C","N","M-Press Delivery"
4.8,12,2,12,983,"C","N","Fed Post"
6.8,18,2,7,2641,"C","N","M-Press Delivery"
8.1,15,4,8,1152,"C","H","M-Press Delivery"
9.6,12,6,7,993,"C","N","M-Press Delivery"
7.9,16,5,11,883,"C","N","M-Press Delivery"
7.1,12,4,7,1514,"I","N","M-Press Delivery"
5.5,15,4,14,1276,"C","N","M-Press Delivery"
6.2,23,3,9,1970,"C","H","M-Press Delivery"
6.2,11,1,13,1323,"C","N","M-Press Delivery"
7.3,10,4,11,1650,"C","H","Fed Post"
8.6,11,9,11,2693,"C","H","M-Press Delivery"
7.3,15,2,7,1752,"I","N","Fed Post"
9.5,10,6,12,1242,"C","H","M-Press Delivery"
5.4,11,4,10,1246,"C","H","M-Press Delivery"
9.7,19,5,7,2026,"C","N","Fed Post"
6.5,10,3,13,1577,"C","N","Fed Post"
6.5,9,3,11,1775,"C","N","M-Press Delivery"
8.5,9,4,11,2796,"C","N","M-Press Delivery"
6.8,15,5,10,1002,"C","N","Fed Post"
4.8,11,4,16,1276,"C","N","Fed Post"
5.9,8,3,15,911,"C","H","Fed Post"
7.1,12,4,10,1099,"C","N","Fed Post"
9.3,14,4,4,1542,"C","N","Fed Post"
4.9,21,4,13,1179,"I","N","M-Press Delivery"
7.6,10,4,9,1598,"C","N","M-Press Delivery"
6.7,13,1,7,1550,"C","N","M-Press Delivery"
6.6,12,7,16,1252,"C","N","Fed Post"
8.9,15,3,5,1737,"C","N","M-Press Delivery"
5.7,16,5,12,2056,"C","H","M-Press Delivery"
6.6,16,2,8,1012,"C","N","Fed Post"
8.2,19,6,12,1733,"C","N","Fed Post"
7.4,6,6,11,1419,"I","N","M-Press Delivery"
8.2,16,3,4,2009,"I","H","M-Press Delivery"
6.8,11,6,10,505,"C","N","Fed Post"
6.8,13,2,8,1250,"C","N","M-Press Delivery"
9.3,15,5,10,1617,"C","N","Fed Post"
4.3,11,3,14,1929,"C","N","Fed Post"
5.6,19,4,12,1880,"C","N","Fed Post"
3.3,13,0,12,750,"C","N","Fed Post"
8.7,15,7,8,1975,"C","N","Fed Post"
4.1,13,2,13,822,"C","N","Fed Post"
7.2,8,4,8,1562,"C","N","M-Press Delivery"
8.1,10,7,5,1299,"C","N","M-Press Delivery"
6.7,14,4,17,2684,"C","N","M-Press Delivery"
6.3,17,3,8,1884,"C","N","Fed Post"
5.5,11,0,9,2223,"C","H","Fed Post"
10.3,15,6,5,1216,"C","N","Fed Post"
8.8,18,5,4,1465,"C","N","Fed Post"
8.6,14,5,11,2399,"C","N","Fed Post"
9.2,17,5,7,1451,"I","N","M-Press Delivery"
4.5,12,6,14,1799,"C","N","M-Press Delivery"
6.1,21,2,8,797,"C","N","M-Press Delivery"
8.2,19,3,8,1248,"I","N","Fed Post"
7.5,7,6,11,1571,"C","N","M-Press Delivery"
5.6,16,2,10,1021,"C","N","Fed Post"
9,15,6,11,1769,"C","N","Fed Post"
4.5,18,3,14,1029,"C","N","Fed Post"
8,10,2,5,2002,"I","H","M-Press Delivery"
5.9,14,3,10,1583,"C","N","Fed Post"
4.4,14,4,14,1392,"C","N","M-Press Delivery"
6.6,14,1,10,1538,"C","N","Fed Post"
8.9,9,8,11,1638,"C","N","M-Press Delivery"
6.3,14,2,16,1209,"C","N","M-Press Delivery"
9.5,9,7,7,1094,"C","N","M-Press Delivery"
7.7,16,2,4,1374,"C","N","Fed Post"
6.7,16,4,12,2178,"I","H","M-Press Delivery"
7.4,13,2,7,2163,"C","N","M-Press Delivery"
7.6,13,3,14,2204,"C","N","Fed Post"
7.2,17,2,10,1888,"C","N","M-Press Delivery"
4.9,15,2,13,1747,"C","N","Fed Post"
7,15,4,9,1560,"C","N","Fed Post"
6,7,2,10,1512,"C","N","Fed Post"
6.3,14,1,10,1834,"C","N","M-Press Delivery"
6.5,12,5,11,1773,"I","H","M-Press Delivery"
10,15,5,8,227,"C","N","Fed Post"
6.4,15,4,8,1129,"C","N","M-Press Delivery"
4.8,14,3,15,1951,"C","N","Fed Post"
7.7,18,1,5,1687,"I","N","M-Press Delivery"
6.6,14,3,14,1971,"I","N","M-Press Delivery"
5.6,10,5,8,1261,"C","N","M-Press Delivery"
6.9,13,2,11,1427,"C","N","M-Press Delivery"
4.9,11,1,14,2375,"C","N","Fed Post"
8.4,15,5,11,652,"C","N","M-Press Delivery"
5.4,9,2,12,1459,"I","N","Fed Post"
5,13,3,14,1491,"C","H","M-Press Delivery"
5.7,14,5,11,1614,"C","N","Fed Post"
8.4,15,3,7,2201,"C","N","Fed Post"
7.1,16,1,5,1615,"C","N","M-Press Delivery"
7.4,18,3,9,1844,"I","N","Fed Post"
7.7,11,3,11,1895,"C","N","Fed Post"
7.6,14,5,8,1976,"I","N","Fed Post"
6.1,10,4,15,1403,"C","H","M-Press Delivery"
5.3,14,6,12,2278,"C","H","Fed Post"
12.8,16,9,3,1924,"C","N","Fed Post"
8.2,8,2,11,1520,"C","N","Fed Post"
5.7,17,2,9,1042,"C","H","Fed Post"
7.5,7,4,8,2733,"C","N","Fed Post"
9.5,9,3,6,1177,"C","N","Fed Post"
4.2,10,2,13,1825,"C","N","Fed Post"
8.5,14,2,6,1732,"C","N","Fed Post"
10,11,4,4,2472,"I","N","Fed Post"
6.6,15,4,10,1344,"C","N","M-Press Delivery"
10,15,5,2,1385,"C","N","Fed Post"
8.9,9,3,5,990,"C","N","Fed Post"
4.5,8,3,11,613,"C","N","Fed Post"
6.6,22,5,9,1313,"C","N","M-Press Delivery"
6.4,13,4,12,1683,"C","N","M-Press Delivery"
6.2,17,5,10,1471,"C","H","M-Press Delivery"
8.1,18,4,6,1606,"C","N","Fed Post"
8.4,14,4,7,1794,"C","N","Fed Post"
5.3,11,3,12,1543,"C","H","M-Press Delivery"
7.9,5,2,4,1559,"C","N","M-Press Delivery"
6.9,15,2,8,617,"C","N","Fed Post"
6.9,13,5,12,1773,"C","N","Fed Post"
8.7,12,5,8,911,"C","H","Fed Post"
9,8,7,4,707,"C","H","Fed Post"
9.4,16,4,6,1621,"C","N","Fed Post"
7.5,12,5,11,2793,"C","H","M-Press Delivery"
6,19,2,11,1443,"C","N","Fed Post"
8.7,13,5,6,1939,"C","N","M-Press Delivery"
6.6,12,2,11,1535,"I","H","M-Press Delivery"
9.4,15,7,8,2163,"C","N","M-Press Delivery"
5.9,11,1,13,1675,"C","N","M-Press Delivery"
8.8,15,10,10,2110,"C","N","M-Press Delivery"
7.7,17,5,9,814,"I","H","M-Press Delivery"
7.9,11,4,10,1511,"C","N","Fed Post"
7.6,15,2,6,1079,"I","N","M-Press Delivery"
9,19,4,6,2123,"I","N","Fed Post"
8.7,11,3,8,1570,"C","N","M-Press Delivery"
6.8,12,3,9,1453,"C","N","Fed Post"
7.6,10,3,8,1663,"C","H","Fed Post"
5.9,15,3,11,1829,"C","H","M-Press Delivery"
10.4,7,6,6,1451,"C","N","Fed Post"
7.2,6,2,7,1472,"I","N","Fed Post"
8.2,19,5,8,1823,"C","N","M-Press Delivery"
9.3,13,10,8,2021,"C","N","Fed Post"
5.8,27,5,12,1850,"C","N","M-Press Delivery"
5.3,5,4,8,417,"C","N","M-Press Delivery"
7,12,2,9,1913,"C","N","Fed Post"
7.5,12,6,11,1455,"C","N","M-Press Delivery"
7.4,10,5,12,1798,"C","N","M-Press Delivery"
10,9,8,6,1223,"C","N","M-Press Delivery"
8.1,13,3,8,1229,"I","H","Fed Post"
9.8,15,6,6,1511,"C","N","Fed Post"
8.9,12,3,10,1436,"C","N","M-Press Delivery"
7.7,9,2,11,1388,"C","N","Fed Post"
2.1,18,4,14,951,"C","H","Fed Post"
9,16,5,5,1747,"C","N","Fed Post"
8.7,19,3,6,1914,"C","H","Fed Post"
6.7,7,3,13,2127,"C","N","Fed Post"
6,6,2,10,2169,"I","H","Fed Post"
7.2,14,2,12,1801,"C","N","M-Press Delivery"
8.2,17,5,9,2357,"C","N","M-Press Delivery"
7.4,14,5,11,1357,"C","N","M-Press Delivery"
6.8,12,3,8,1866,"I","N","Fed Post"
9.2,12,4,12,2174,"C","N","M-Press Delivery"
7.1,15,1,8,2013,"C","N","M-Press Delivery"
6.7,13,3,14,1784,"C","N","Fed Post"
7.4,9,2,11,814,"C","N","Fed Post"
7,16,0,11,2045,"I","N","Fed Post"
6.7,16,3,8,1643,"C","N","M-Press Delivery"
7.1,14,5,11,867,"C","N","Fed Post"
6.5,12,5,12,1705,"C","N","M-Press Delivery"
9.1,10,3,7,1457,"C","N","M-Press Delivery"
9.7,9,7,14,2088,"C","N","M-Press Delivery"
7.2,16,3,6,1603,"C","N","Fed Post"
5.4,14,1,11,1697,"C","N","M-Press Delivery"
7.4,10,6,12,1355,"I","H","M-Press Delivery"
9,13,6,11,609,"I","N","Fed Post"
7,8,4,9,735,"I","H","M-Press Delivery"
7.7,17,1,8,2358,"C","H","Fed Post"
6.4,21,6,15,1013,"C","H","M-Press Delivery"
7.3,8,5,13,2367,"C","N","Fed Post"
6,16,3,10,1,"C","N","M-Press Delivery"
5,19,3,12,1731,"I","N","Fed Post"
10.4,19,7,10,2020,"C","N","Fed Post"
8.8,15,7,10,1510,"C","H","Fed Post"
7.7,5,5,11,2059,"C","H","M-Press Delivery"
8.3,16,4,9,1217,"C","N","M-Press Delivery"
8.1,10,3,5,1420,"C","N","M-Press Delivery"
8.4,9,7,12,1749,"C","N","M-Press Delivery"
9.8,10,7,12,1699,"C","N","Fed Post"
5.5,13,2,12,2291,"C","N","Fed Post"
6.8,17,4,9,1739,"C","N","Fed Post"
6.2,9,4,18,784,"C","N","M-Press Delivery"
8.4,14,2,2,1845,"I","H","M-Press Delivery"
8.2,16,2,9,1816,"C","N","M-Press Delivery"
8.1,14,2,8,1710,"C","N","Fed Post"
5.9,16,2,9,1669,"C","H","Fed Post"
6.1,18,2,11,1753,"C","N","Fed Post"
6.8,18,2,8,1743,"C","N","M-Press Delivery"
10.4,16,4,4,1487,"C","N","Fed Post"
9.3,8,5,6,1655,"C","N","M-Press Delivery"
7.9,12,5,9,919,"C","N","Fed Post"
9.7,9,6,7,1133,"C","N","Fed Post"
8.4,15,7,9,1288,"C","N","Fed Post"
6.6,11,1,8,1251,"C","N","M-Press Delivery"
10.5,15,9,6,1751,"C","N","Fed Post"
8.6,21,5,6,2237,"C","N","M-Press Delivery"
8.4,16,5,11,1770,"C","N","M-Press Delivery"
8.3,18,6,13,1338,"C","H","Fed Post"
7.4,9,5,7,1071,"C","N","Fed Post"
8.5,10,8,11,1886,"C","H","M-Press Delivery"
6.9,12,1,6,2123,"C","N","Fed Post"
7.4,16,6,2,890,"C","H","M-Press Delivery"
8.8,18,3,10,1532,"C","N","M-Press Delivery"
7.4,10,4,11,2787,"C","N","Fed Post"
8.1,16,3,7,1544,"C","N","Fed Post"
8.2,8,2,9,1668,"C","N","Fed Post"
4.3,13,1,10,1399,"C","H","Fed Post"
6.5,13,3,11,776,"C","N","Fed Post"
8.3,14,5,9,1608,"C","N","M-Press Delivery"
8.7,18,5,9,1440,"C","H","M-Press Delivery"
7.3,15,4,7,1358,"C","N","M-Press Delivery"
9.1,14,8,9,1838,"C","N","M-Press Delivery"
7.9,17,2,12,1565,"C","H","M-Press Delivery"
6.2,9,4,15,1316,"C","N","M-Press Delivery"
6.1,11,3,10,1595,"C","N","M-Press Delivery"
7.4,14,2,11,1437,"C","N","Fed Post"
6.8,11,2,7,1943,"C","N","M-Press Delivery"
7.1,18,2,7,1639,"I","N","Fed Post"
9.3,8,4,3,1296,"C","N","M-Press Delivery"
8.2,8,5,8,1975,"C","H","M-Press Delivery"
8.2,12,4,7,946,"C","N","M-Press Delivery"
7.3,8,1,5,1802,"C","N","M-Press Delivery"
6.8,10,2,9,1622,"I","N","M-Press Delivery"
6.4,11,3,11,1318,"C","N","M-Press Delivery"
7.3,13,3,12,1657,"C","N","Fed Post"
4.3,8,4,12,1637,"C","N","Fed Post"
8.8,11,2,5,2562,"C","H","Fed Post"
8,15,4,7,1428,"C","H","Fed Post"
5.5,9,4,14,2304,"C","N","Fed Post"
8.5,20,3,3,1568,"I","N","M-Press Delivery"
7.9,10,5,12,1962,"I","N","M-Press Delivery"
7.5,9,2,5,1634,"I","N","M-Press Delivery"
6.7,21,7,16,2074,"C","N","M-Press Delivery"
8.5,3,3,9,2007,"I","N","M-Press Delivery"
5.3,11,1,9,1239,"C","N","Fed Post"
10.5,9,6,4,1501,"C","H","M-Press Delivery"
8.9,7,3,6,2197,"C","H","Fed Post"
6,7,6,10,2193,"C","H","M-Press Delivery"
6.6,9,3,11,1600,"C","N","Fed Post"
6.3,20,3,11,1376,"C","N","Fed Post"
7.5,10,3,7,1119,"I","N","M-Press Delivery"
3.6,21,2,14,337,"I","N","M-Press Delivery"
6.8,19,4,9,1142,"C","N","M-Press Delivery"
7.2,13,4,9,1484,"C","N","Fed Post"
9.4,20,5,7,2699,"C","N","Fed Post"
8.6,17,5,8,1473,"C","N","M-Press Delivery"
7.3,17,3,5,1921,"C","H","M-Press Delivery"
6.3,12,2,10,2043,"C","N","Fed Post"
7.1,14,1,7,1669,"C","N","M-Press Delivery"
8.6,12,8,8,867,"I","H","Fed Post"
11.3,15,7,6,1268,"C","N","Fed Post"
10.7,12,7,7,1939,"I","N","Fed Post"
7.1,4,3,10,1139,"C","N","Fed Post"
5.9,8,4,9,1983,"I","N","Fed Post"
6.8,14,6,9,1885,"C","N","M-Press Delivery"
5.9,9,0,6,1489,"C","H","Fed Post"
7.8,16,3,10,1626,"C","N","M-Press Delivery"
9.9,16,9,9,1660,"C","H","Fed Post"
5.4,20,3,10,2069,"C","H","M-Press Delivery"
5.4,14,2,12,1240,"I","N","M-Press Delivery"
8.6,18,6,9,1466,"C","N","Fed Post"
8.8,14,4,7,1572,"C","N","Fed Post"
6.3,13,3,9,1715,"I","N","Fed Post"
6.8,18,5,11,1886,"C","N","M-Press Delivery"
6.2,10,5,11,1172,"I","N","Fed Post"
9.3,12,3,5,2034,"C","N","Fed Post"
10,13,4,2,2704,"C","N","Fed Post"
7.9,12,3,11,969,"C","N","M-Press Delivery"
7.6,11,8,13,1587,"I","N","Fed Post"
6.5,11,6,11,2275,"I","H","M-Press Delivery"
8.1,11,4,5,1432,"C","N","M-Press Delivery"
6.1,18,3,10,1194,"C","N","M-Press Delivery"
9,14,5,9,1771,"C","N","Fed Post"
7.2,14,8,11,1034,"C","N","M-Press Delivery"
8,12,6,10,1446,"C","H","M-Press Delivery"
6.9,14,2,5,565,"C","N","Fed Post"
8.3,7,3,8,2422,"C","H","M-Press Delivery"
8.2,17,4,6,2370,"C","N","M-Press Delivery"
8.1,16,2,8,1353,"I","N","M-Press Delivery"
11.2,8,5,5,848,"C","H","M-Press Delivery"
7.4,13,5,11,1010,"C","N","M-Press Delivery"
6.2,6,0,7,1159,"I","N","M-Press Delivery"
6.7,9,6,9,1574,"C","H","Fed Post"
6.2,11,3,8,772,"I","N","M-Press Delivery"
7.4,17,1,8,2848,"C","N","Fed Post"
9.3,17,6,9,1302,"I","N","Fed Post"
6.8,16,5,12,1392,"C","N","Fed Post"
8.8,14,3,5,1462,"I","H","Fed Post"
6.8,19,5,9,483,"C","H","Fed Post"
9.4,15,4,6,1460,"C","N","Fed Post"
7.4,13,3,7,855,"C","N","M-Press Delivery"
5,9,1,9,1966,"C","H","Fed Post"
8.6,20,6,3,1169,"C","N","Fed Post"
10,10,5,3,1766,"C","N","Fed Post"
8,8,5,7,150,"I","N","M-Press Delivery"
8.7,16,4,8,2059,"C","N","M-Press Delivery"
5.8,13,5,14,905,"C","N","Fed Post"
5.6,11,2,10,1948,"C","N","M-Press Delivery"
10.1,8,5,6,2410,"C","H","Fed Post"
8.7,20,7,9,1115,"C","H","Fed Post"
8.1,15,6,7,1325,"C","N","Fed Post"
7.6,14,5,12,1227,"C","N","M-Press Delivery"
7.1,11,4,11,1909,"C","N","Fed Post"
9.6,7,5,8,1421,"C","N","M-Press Delivery"
8.7,9,5,8,813,"C","H","Fed Post"
6.9,7,6,15,1737,"I","N","M-Press Delivery"
6.2,4,5,13,1908,"C","H","Fed Post"
6,12,4,12,1844,"C","N","Fed Post"
8.6,12,3,5,1763,"C","N","Fed Post"
8.4,14,7,9,1948,"C","N","M-Press Delivery"
6.3,11,3,13,1386,"C","N","Fed Post"
5.3,13,5,10,1414,"C","N","M-Press Delivery"
8.7,6,5,4,1385,"I","N","Fed Post"
4.9,14,2,10,1592,"C","N","Fed Post"
10.2,11,7,5,2032,"I","N","M-Press Delivery"
7.3,14,4,8,824,"C","N","M-Press Delivery"
6.9,11,3,12,1544,"C","N","Fed Post"
8.7,11,3,10,2300,"I","N","Fed Post"
2.9,18,2,17,1326,"C","N","M-Press Delivery"
8.3,13,3,9,1754,"I","N","M-Press Delivery"
9.9,14,8,10,2109,"C","H","Fed Post"
5.3,13,2,13,1641,"C","N","M-Press Delivery"
8.1,19,4,11,1428,"C","H","M-Press Delivery"
4.6,15,3,13,2020,"I","N","M-Press Delivery"
7.3,17,7,8,1725,"C","H","M-Press Delivery"
8,14,2,11,1882,"C","N","M-Press Delivery"
8.5,7,5,11,1976,"C","H","Fed Post"
7.8,8,4,7,1140,"C","N","Fed Post"
6.8,9,3,8,1243,"C","H","M-Press Delivery"
11.4,13,6,6,1572,"I","N","Fed Post"
9.7,13,7,5,1669,"C","N","M-Press Delivery"
5.6,17,2,20,2068,"C","N","Fed Post"
10.6,17,10,5,956,"C","N","M-Press Delivery"
7.5,17,3,9,2012,"C","N","Fed Post"
6.5,16,4,12,923,"I","N","Fed Post"
7.2,12,3,10,1667,"C","H","Fed Post"
8.5,12,6,8,1415,"C","N","Fed Post"
8,8,8,13,2049,"I","N","Fed Post"
6.1,12,6,7,2035,"C","H","Fed Post"
8.9,16,3,7,2249,"C","N","Fed Post"
3.6,16,4,18,1823,"C","H","Fed Post"
8.2,14,6,11,2595,"C","N","Fed Post"
6.8,10,3,12,2121,"C","N","Fed Post"
7.8,14,4,8,1830,"C","N","Fed Post"
7.3,7,4,10,1821,"I","H","Fed Post"
7.9,11,4,9,1764,"C","H","M-Press Delivery"
7.9,19,3,10,2222,"I","H","M-Press Delivery"
6,17,2,15,1676,"C","N","Fed Post"
5,14,4,14,1337,"C","N","Fed Post"
9.6,11,4,9,1507,"I","N","Fed Post"
8.6,13,3,9,1728,"C","N","Fed Post"
9.9,15,7,9,1497,"C","N","Fed Post"
9.1,17,5,9,2208,"C","H","M-Press Delivery"
5.3,17,2,13,2349,"C","N","Fed Post"
8.4,11,4,7,2265,"C","N","Fed Post"
7.6,10,6,8,1626,"C","N","M-Press Delivery"
7.2,8,4,9,1056,"I","N","M-Press Delivery"
7.4,14,4,9,1009,"C","N","Fed Post"
7.8,12,4,10,1516,"C","N","M-Press Delivery"
7.6,12,1,8,1147,"C","N","Fed Post"
6.1,15,3,10,586,"C","N","M-Press Delivery"
8.9,12,7,9,1972,"C","N","M-Press Delivery"
7.8,18,4,8,2553,"I","H","Fed Post"
6.2,13,3,12,1843,"C","N","M-Press Delivery"
4,12,0,11,2148,"C","H","Fed Post"
6.7,19,3,10,1382,"I","N","Fed Post"
9.6,17,6,9,976,"I","H","M-Press Delivery"
8.9,10,3,3,1318,"I","N","M-Press Delivery"
8.1,16,8,9,839,"C","N","M-Press Delivery"
9.6,19,8,11,1274,"C","N","Fed Post"
8.9,13,2,4,2682,"C","N","M-Press Delivery"
8.4,12,9,10,1671,"I","N","Fed Post"
9.2,14,5,8,2078,"C","N","Fed Post"
9.1,8,2,1,1258,"I","N","M-Press Delivery"
9.6,10,4,9,1815,"C","N","Fed Post"
8.2,11,3,3,877,"C","N","M-Press Delivery"
6,12,1,11,1505,"I","N","Fed Post"
9.3,11,4,7,1632,"C","N","Fed Post"
6.4,11,2,9,1502,"C","H","Fed Post"
6,12,1,8,1478,"C","N","M-Press Delivery"
7.8,13,3,6,857,"C","N","M-Press Delivery"
6.1,12,3,14,678,"C","N","M-Press Delivery"
7.3,5,5,10,1133,"I","N","Fed Post"
5.7,9,1,14,2241,"C","N","Fed Post"
9.6,11,6,7,2595,"I","N","Fed Post"
8.1,9,5,8,1513,"C","N","M-Press Delivery"
9.6,12,8,6,1533,"I","N","Fed Post"
8.7,15,3,7,2022,"C","N","Fed Post"
8.8,18,4,7,2144,"C","N","Fed Post"
7.6,10,2,9,1213,"C","N","M-Press Delivery"
8.5,6,4,8,2358,"C","N","Fed Post"
6,18,1,9,1099,"C","H","M-Press Delivery"
9.2,16,8,7,1728,"I","N","Fed Post"
7.5,7,3,10,1255,"C","N","M-Press Delivery"
8.5,9,4,5,597,"C","N","Fed Post"
9.6,14,5,8,2233,"C","N","Fed Post"
6.8,8,2,7,1098,"C","H","Fed Post"
7.5,9,6,9,1649,"I","N","Fed Post"
5.5,16,3,8,744,"C","H","Fed Post"
8.9,16,2,7,1904,"I","N","M-Press Delivery"
8.3,13,5,15,1791,"C","N","Fed Post"
8.3,22,5,9,1537,"C","N","Fed Post"
7.8,14,3,13,1632,"C","N","Fed Post"
9.2,12,4,7,1275,"C","N","Fed Post"
6.4,8,4,11,1897,"C","N","M-Press Delivery"
8.1,11,5,7,1960,"C","N","Fed Post"
4.8,15,3,15,2770,"I","H","M-Press Delivery"
8.9,6,4,6,1742,"C","N","Fed Post"
7.5,-10,2,7,1291,"I","N","Fed Post"
6.8,11,1,9,1341,"C","N","Fed Post"
9.5,12,7,5,643,"C","N","M-Press Delivery"
9,13,5,6,1248,"I","N","Fed Post"
6.8,8,4,13,1017,"I","N","Fed Post"
8.1,19,4,11,1484,"C","N","M-Press Delivery"
8.8,11,5,7,935,"C","N","Fed Post"
8.2,19,4,7,2431,"I","N","M-Press Delivery"
7.7,7,3,8,1753,"C","N","Fed Post"
6.5,14,3,7,1280,"C","N","M-Press Delivery"
8,15,4,13,1679,"C","N","M-Press Delivery"
6.7,11,6,11,1555,"C","N","Fed Post"
6.3,15,5,11,1151,"C","H","Fed Post"
6.4,11,4,9,1607,"C","H","Fed Post"
7.5,11,4,9,2341,"C","N","M-Press Delivery"
4.1,10,0,18,1169,"I","H","M-Press Delivery"
7.5,16,4,10,2564,"C","N","Fed Post"
8.6,19,2,7,1777,"C","N","M-Press Delivery"
8.6,10,2,7,1550,"I","N","M-Press Delivery"
6.1,8,3,14,1726,"I","N","Fed Post"
